antecedents,consequents,support,confidence,lift
high_risk_ip,is_fraud,0.008,0.18113207547169813,4.862606052931493
"device_type_Mobile, high_risk_ip",is_fraud,0.00425,0.15987460815047022,4.291935789274368
high_risk_ip,"device_type_Mobile, is_fraud",0.00425,0.09622641509433963,4.214295551576918
"address_mismatch, device_type_Mobile",is_fraud,0.004333333333333333,0.14689265536723164,3.9434269897243395
address_mismatch,is_fraud,0.007083333333333333,0.1457975986277873,3.9140294933634174
address_mismatch,"device_type_Mobile, is_fraud",0.004333333333333333,0.08919382504288165,3.906298906987517
traffic_source_Paid Ads,"device_type_Mobile, is_fraud",0.008666666666666666,0.03927492447129909,1.7200696848744128
"device_type_Mobile, traffic_source_Paid Ads",is_fraud,0.008666666666666666,0.06341463414634146,1.7024062858078246
traffic_source_Paid Ads,is_fraud,0.013166666666666667,0.05966767371601208,1.6018167440540156
product_category_Electronics,"device_type_Mobile, is_fraud",0.004666666666666667,0.027888446215139445,1.2213918050426034
"device_type_Mobile, product_category_Electronics",is_fraud,0.004666666666666667,0.04426877470355731,1.188423481974693
country_France,is_fraud,0.004666666666666667,0.04291187739463602,1.1519967085808327
payment_method_Debit Card,"device_type_Mobile, is_fraud",0.005833333333333334,0.02600297176820208,1.1388162818190692
"device_type_Mobile, payment_method_Debit Card",is_fraud,0.005833333333333334,0.04232164449818621,1.1361515301526501
device_type_Mobile,"is_fraud, product_category_Electronics",0.004666666666666667,0.007614903453902639,1.128133845022613
device_type_Mobile,"is_fraud, payment_method_Debit Card",0.005833333333333334,0.009518629317378298,1.0878433505575196
product_category_Electronics,is_fraud,0.00675,0.04033864541832669,1.0829166555255487
device_type_Mobile,"is_fraud, traffic_source_Paid Ads",0.008666666666666666,0.014141963557247755,1.0740731815631206
payment_method_PayPal,is_fraud,0.0075,0.03994673768308921,1.0723956424990393
product_category_Fashion,is_fraud,0.005583333333333333,0.03936545240893067,1.0567906686961255
payment_method_Debit Card,is_fraud,0.00875,0.03900445765230313,1.047099534290017
device_type_Desktop,is_fraud,0.01225,0.038552321007081045,1.0349616377739879
product_category_Home & Kitchen,is_fraud,0.007916666666666667,0.03849270664505673,1.033361252216288
payment_method_Klarna,is_fraud,0.00475,0.03774834437086093,1.0133783723721055
"country_Netherlands, device_type_Mobile",is_fraud,0.006416666666666667,0.037726604605585495,1.0127947545123623
device_type_Mobile,is_fraud,0.022833333333333334,0.03725863475659505,1.0002318055461759
